"";"Nombre.buscado";"Nombre.trivago";"Precio.mb";"Hotel.mb";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"640";"HOTEL CARTAGENA DUBAI";"Hotel Cartagena Dubai";422762;"lol.travel";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"4";7;"Excelente";"138";"10.407163";"-75.553162"
"642";"ARMERIA REAL LUXURY";"Hotel Armeria Real Luxury";426124;"Prestigia";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";8;"Muy bueno";"342";"10.418005";"-75.545464"
"645";"BALCONES DE BOCAGRANDE";"Balcones De Bocagrande";161063;"Booking.com";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"3";7,8;"Bueno";"245";"10.406655";"-75.552414"
"648";"HOTEL CARTAGENA ROYAL INN";"Hotel Cartagena Royal Inn";206403;"lol.travel";"True";"True";"False";"False";"False";"False";"True";"False";"True";"False";"3";7,5;"Bueno";"634";"10.425963";"-75.546593"
"651";"EL MARQUES BOUTIQUE";"El Marques Boutique";915303;"Booking.com";"True";"True";"True";"True";"False";"True";"True";"True";"True";"False";"4";8,7;"Excelente";"286";"10.42355";"-75.552284"
"652";"CASA SAN PEDRO CLAVER";"Hotel Casa Claver Loft Boutique";728854;"Booking.com";"True";"True";"True";"True";"False";"True";"True";"False";"False";"False";"4";9,2;"Excelente";"432";"10.422386";"-75.551094"
"657";"CARTAGENA REAL";"Cartagena Real";146969;"ZenHotels.com";"True";"False";"True";"False";"True";"False";"True";"True";"True";"False";"4";5,6;"Excelente";"30";"10.394455";"-75.560577"
"659";"CASA CANABAL BOUTIQUE";"Casa Canabal Boutique";468405;"lol.travel";"True";"True";"True";"False";"False";"True";"True";"True";"True";"False";"4";8,7;"Excelente";"443";"10.423524";"-75.545616"
"661";"MINTAKA LOUNGE";"Mintaka Lounge";176966;"Booking.com";"True";"True";"False";"False";"False";"False";"True";"False";"False";"False";"3";7,8;"Bueno";"87";"10.399242";"-75.558777"
"662";"OCEANO CARTAGENA";"Océano";106369;"Booking.com";"True";"False";"True";"False";"True";"False";"True";"True";"True";"False";"3";6,8;"Muy bueno";"78";"10.40214";"-75.521484"
"666";"CASA DON SANCHO BY MUSTIQUE";"Casa Don Sancho By Mustique";683557;"Booking.com";"True";"True";"True";"False";"False";"True";"True";"True";"False";"False";"4";9,3;"Excelente";"156";"10.42626";"-75.551376"
"670";"HOTEL CASA LOS PUNTALES";"Hotel Casa los Puntales";274371;"lol.travel";"True";"True";"False";"False";"False";"False";"True";"False";"False";"False";"3";7,2;"Muy bueno";"172";"10.42664";"-75.54731"
"671";"ATLANTIC LUX";"Atlantic Lux";216747;"lol.travel";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"4";7,8;"Bueno";"759";"10.403674";"-75.554367"
"672";"BALCONES DE ALHELI";"Balcones de Alhelí B&B";338546;"Booking.com";"True";"True";"False";"False";"False";"True";"True";"False";"False";"False";"4";7,8;"Bueno";"383";"10.41373";"-75.533577"
"673";"HOTEL SAN FELIPE CARTAGENA";"Hotel San Felipe";169770;"lol.travel";"False";"False";"False";"False";"False";"False";"True";"True";"True";"False";"1";7,5;"Bueno";"1151";"10.419994";"-75.545868"
"677";"MALOKA HOSTEL CARTAGENA";"Maloka Hostel Cartagena";187825;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,4;"Muy bueno";"21";"10.426046";"-75.546288"
"678";"La Passion hotel boutique Cartagena";"La Passion Hotel Boutique";509311;"ZenHotels.com";"True";"True";"True";"False";"False";"False";"True";"True";"True";"True";"4";8,5;"Excelente";"294";"10.425053";"-75.550583"
"680";"Sophia Cartagena";"Sophia";701682;"Booking.com";"True";"True";"True";"False";"False";"True";"True";"False";"True";"False";"5";9,1;"Excelente";"218";"10.422403";"-75.551437"
"681";"HOTEL LA CASA DEL TURISTA";"Hotel La Casa del Turista";120541;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"False";"False";"False";"3";7,4;"Muy bueno";"37";"10.398914";"-75.558067"
"682";"AMBEIMA IBAGUE";"Ambeima";90449;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"5";9;"Excelente";"Puntuación";"4.44983";"-75.248352"
"688";"ANTONIO NARIÑO VILLA ";"Antonio Nariño";226014;"Booking.com";"True";"True";"False";"False";"True";"True";"False";"False";"False";"False";"3";8,3;"Muy bueno";"304";"5.631828";"-73.525078"
"690";"LA GRAN ESQUINA PUERTO BOYACA ";"La Gran Esquina";120541;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"False";"5";9;"Excelente";"Puntuación";"5.976522";"-74.591408"
"696";"CAMINO DE LA SAL";"Camino de la Sal";178776;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"True";"False";"False";"3";9,2;"Excelente";"185";"5.025157";"-74.006035"
"701";"SUMAPAZ MELGAR";"Sumapaz";208608;"ZenHotels.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"3";7,7;"Bueno";"12";"4.201848";"-74.639015"
"703";"CASA PABLO NEIVA";"Casa Pablo";96207;"Booking.com";"True";"True";"False";"False";"True";"True";"True";"True";"False";"False";"2";7;"Bueno";"34";"2.926563";"-75.281441"
"704";"METROPOLITANO NEIVA";"Metropolitano";105473;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"False";"4";8,6;"Excelente";"259";"2.926389";"-75.288177"
"708";"HOTEL F25";"Hotel F25";180075;"Booking.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"3";8,8;"Excelente";"48";"4.435958";"-75.213211"
