"";"Nombre.buscado";"Nombre.trivago";"Precio.mb";"Hotel.mb";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"403";"HOLIDAY INN EXPRESS YOPAL COLOMBIA";"Holiday Inn Express Yopal";165070;"lol.travel";"True";"True";"True";"False";"True";"False";"True";"False";"True";"True";"3";9,1;"Excelente";"323";"5.340175";"-72.385773"
"404";"GHL STYLE YOPAL";"Ghl Style Yopal";161745;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"False";"3";9;"Excelente";"173";"5.330845";"-72.393402"
"406";"SANTORINI LOFT MONTERIA";"Santorini Loft";245176;"Booking.com";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"3";8,1;"Muy bueno";"23";"8.758792";"-75.884644"
"407";"ZENU MONTERIA";"Zenu";121245;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"False";"False";"4";7,6;"Bueno";"49";"8.759461";"-75.885521"
"409";"BAROCA MONTERIA";"Baroca";202544;"Booking.com";"True";"True";"True";"False";"False";"False";"True";"True";"True";"True";"4";8,4;"Muy bueno";"29";"8.756297";"-75.883774"
"410";"CONDOMINIO PUNTEPIEDRA";"Condominio Puntepiedra";284909;"Booking.com";"True";"True";"True";"False";"True";"False";"True";"True";"False";"True";"4";8,8;"Excelente";"Puntuación";"9.42";"-75.690002"
"413";"HOTEL PANORAMA";"Hotel Panorama";77048;"Booking.com";"True";"True";"False";"False";"True";"False";"False";"False";"False";"False";"3";8;"Muy bueno";"953";"19.457575";"-99.127174"
"415";"GHL MONTERIA";"Ghl Monteria";203482;"Prestigia";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"5";8,9;"Excelente";"321";"8.763723";"-75.872665"
"416";"MIRAVAL MONTERIA";"Miraval";148468;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"False";"4";7,6;"Bueno";"33";"8.762876";"-75.87796"
"417";"FLORIDA SINU  MONTERIA";"Florida Sinú";179381;"Booking.com";"True";"True";"True";"False";"True";"False";"True";"True";"False";"True";"4";8,4;"Muy bueno";"170";"8.754975";"-75.869232"
"422";"WAIRA SUITES LETICIA";"Waira Suites";265341;"Booking.com";"False";"False";"True";"False";"True";"False";"True";"True";"True";"False";"4";8,9;"Excelente";"194";"4.216124";"-69.941574"
"423";"ON VACATION AMAZONAS";"On Vacation Amazon";225388;"Booking.com";"True";"True";"True";"False";"False";"True";"True";"True";"True";"False";"4";6,8;"Excelente";"115";"4.134648";"-70.01432"
"429";"SUMA WASI";"Inca Wasi";232552;"ZenHotels.com";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";7,9;"Bueno";"289";"13.51626";"-71.979408"
"432";"HOTEL UNION PLAZA MONTERIA";"Hotel Unión Plaza";176993;"Booking.com";"True";"True";"False";"False";"True";"True";"True";"True";"False";"False";"4";8,3;"Muy bueno";"60";"8.774655";"-75.86615"
"433";"republicano 1910";"Republicano 1910";162198;"Booking.com";"True";"True";"True";"True";"True";"False";"True";"False";"True";"True";"3";8,1;"Muy bueno";"117";"4.29531";"-74.807747"
"435";"HOTEL PARK INN BY RADISSON BARRANCABERMEJA";"Park Inn By Radisson Barrancabermeja";242680;"Agoda";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"4";8,8;"Excelente";"47";"7.061123";"-73.868446"
"436";"HYATT REGENCY CARTAGENA";"Hyatt Regency Cartagena";550338;"Prestigia";"True";"True";"True";"True";"True";"True";"True";"False";"True";"True";"4";9,2;"Excelente";"1135";"10.411293";"-75.551468"
"437";"SONESTA BUCARAMANGA";"Sonesta  Bucaramanga";219547;"ZenHotels.com";"True";"True";"True";"False";"True";"False";"True";"True";"True";"True";"5";8,6;"Excelente";"134";"7.072066";"-73.105263"
"438";"HAMPTON BY HILTON BOGOTA AIRPORT";"Hampton by Hilton Bogota Airport";225133;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"5";8,5;"Excelente";"253";"4.66779";"-74.114113"
"439";"CONRAD CARTAGENA";"Conrad Cartagena";649943;"Prestigia";"True";"True";"True";"True";"True";"True";"True";"True";"True";"True";"5";8,6;"Excelente";"295";"10.545";"-75.490753"
"442";"MAGIC HILL BY ON VACATION";"On Vacation Magic Hill";364817;"lol.travel";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"3";8,3;"Muy bueno";"Puntuación";"12.56092";"-81.716911"
"444";"IBIS CALI GRANADA";"ibis Cali Granada (Opening February 2018)";108004;"Booking.com";"False";"False";"False";"False";"True";"True";"True";"True";"False";"False";"3";8,3;"Muy bueno";"184";"3.457916";"-76.534592"
"451";"HILTON GARDEN BOGOTA AIRPORT";"Hilton Garden Inn Bogota Airport";244277;"Agoda";"False";"False";"False";"False";"False";"False";"False";"False";"False";"False";"4";8,9;"Excelente";"486";"4.635828";"-74.158234"
